year,state,candidate,party,outcome,incumbent,Population,Male,Black or African American,Bachelor's degree,Graduate or professional degree,18 to 29 years,65 years and over,Disposable Income Per Capita,Avg Unemployment,turnout,state_Alaska,state_Arizona,state_Arkansas,state_California,state_Colorado,state_Connecticut,state_Delaware,state_Florida,state_Georgia,state_Hawaii,state_Idaho,state_Illinois,state_Indiana,state_Iowa,state_Kansas,state_Kentucky,state_Louisiana,state_Maine,state_Maryland,state_Massachusetts,state_Michigan,state_Minnesota,state_Mississippi,state_Missouri,state_Montana,state_Nebraska,state_Nevada,state_New Hampshire,state_New Jersey,state_New Mexico,state_New York,state_North Carolina,state_North Dakota,state_Ohio,state_Oklahoma,state_Oregon,state_Pennsylvania,state_Rhode Island,state_South Carolina,state_South Dakota,state_Tennessee,state_Texas,state_Utah,state_Vermont,state_Virginia,state_Washington,state_West Virginia,state_Wisconsin,state_Wyoming,candidate_other,candidate_republican
1980,Georgia,Herman E. Talmadge,democrat,0,3,5361593,0.4831157971175669,0.2679044220234783,0.0505690874968634,0.0356882927366865,0.22380454654547546,0.09394460730573416,6900.0,6.816666666666666,0.42100000000000004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Georgia,Mack Mattingly,republican,1,0,5361593,0.4831157971175669,0.2679044220234783,0.0505690874968634,0.0356882927366865,0.22380454654547546,0.09394460730573416,6900.0,6.816666666666666,0.42100000000000004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Hawaii,Bud Shasteen,other,0,0,950337,0.5131858029013651,0.017713889817058792,0.06474973570801534,0.0570270307757752,0.2509596307727637,0.07555120426068562,9281.0,4.999999999999999,0.49200000000000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Hawaii,Daniel K. Inouye,democrat,1,2,950337,0.5131858029013651,0.017713889817058792,0.06474973570801534,0.0570270307757752,0.2509596307727637,0.07555120426068562,9281.0,4.999999999999999,0.49200000000000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Hawaii,Cooper Brown,republican,0,0,950337,0.5131858029013651,0.017713889817058792,0.06474973570801534,0.0570270307757752,0.2509596307727637,0.07555120426068562,9281.0,4.999999999999999,0.49200000000000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Idaho,Steve Symms,republican,1,0,937653,0.4992933944335747,0.002824480934337445,0.05039755617115826,0.039284718656593436,0.22255318280560488,0.09712332695167714,7161.0,7.933333333333334,0.7040000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Idaho,Frank Church,democrat,0,3,937653,0.4992933944335747,0.002824480934337445,0.05039755617115826,0.039284718656593436,0.22255318280560488,0.09712332695167714,7161.0,7.933333333333334,0.7040000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Idaho,Larry Fullmer,other,0,0,937653,0.4992933944335747,0.002824480934337445,0.05039755617115826,0.039284718656593436,0.22255318280560488,0.09712332695167714,7161.0,7.933333333333334,0.7040000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Illinois,David C. O'Neal,republican,0,0,11426109,0.4845103095973936,0.1463741565094686,0.05561980860148097,0.04449165768578933,0.22085301027639392,0.10891072204290576,8674.0,8.433333333333332,0.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Illinois,Alan J. Dixon,democrat,1,0,11426109,0.4845103095973936,0.1463741565094686,0.05561980860148097,0.04449165768578933,0.22085301027639392,0.10891072204290576,8674.0,8.433333333333332,0.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Illinois,Sidney Lens,other,0,0,11426109,0.4845103095973936,0.1463741565094686,0.05561980860148097,0.04449165768578933,0.22085301027639392,0.10891072204290576,8674.0,8.433333333333332,0.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Illinois,Bruce Green,other,0,0,11426109,0.4845103095973936,0.1463741565094686,0.05561980860148097,0.04449165768578933,0.22085301027639392,0.10891072204290576,8674.0,8.433333333333332,0.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Illinois,Michael Soriano,other,0,0,11426109,0.4845103095973936,0.1463741565094686,0.05561980860148097,0.04449165768578933,0.22085301027639392,0.10891072204290576,8674.0,8.433333333333332,0.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
