NAME,START,END,STATE,PARTY,TERMS
Richard Blumenthal,2011,2019,Connecticut,Democratic,1
Chris Murphy,2013,2019,Connecticut,Democratic,1
Tom Carper,2001,2019,Delaware,Democratic,3
Chris Coons,2010,2019,Delaware,Democratic,1
Marco Rubio,2011,2019,Florida,Republican,1
Rick Scott,2019,2019,Florida,Republican,1
David Perdue,2015,2019,Georgia,Republican,1
Kelly Loeffler,2020,2019,Georgia,Republican,1
Brian Schatz,2012,2019,Hawaii,Democratic,1
Mazie Hirono,2013,2019,Hawaii,Democratic,1
Mike Crapo,1999,2019,Idaho,Republican,3
Jim Risch,2009,2019,Idaho,Republican,1
Dick Durbin,1997,2019,Illinois,Democratic,3
Tammy Duckworth,2017,2019,Illinois,Democratic,1
Todd Young,2017,2019,Indiana,Republican,1
Mike Braun,2019,2019,Indiana,Republican,1
Chuck Grassley,1981,2019,Iowa,Republican,6
Joni Ernst,2015,2019,Iowa,Republican,1
Pat Roberts,1997,2019,Kansas,Republican,3
Jerry Moran,2011,2019,Kansas,Republican,1
Mitch McConnell,1985,2019,Kentucky,Republican,5
Rand Paul,2011,2019,Kentucky,Republican,1
Bill Cassidy,2015,2019,Louisiana,Republican,1
John Kennedy,2017,2019,Louisiana,Republican,1
Susan Collins,1997,2019,Maine,Republican,3
Angus King,2013,2019,Maine,&#91;a&#93;,1
Ben Cardin,2007,2019,Maryland,Democratic,2
Chris Van Hollen,2017,2019,Maryland,Democratic,1
Elizabeth Warren,2013,2019,Massachusetts,Democratic,1
Ed Markey,2013,2019,Massachusetts,Democratic,1
Debbie Stabenow,2001,2019,Michigan,Democratic,3
Gary Peters,2015,2019,Michigan,Democratic,1
Amy Klobuchar,2007,2019,Minnesota,Democratic,2
Tina Smith,2018,2019,Minnesota,Democratic,1
Roger Wicker,2007,2019,Mississippi,Republican,2
Cindy Hyde-Smith,2018,2019,Mississippi,Republican,1
Roy Blunt,2011,2019,Missouri,Republican,1
Josh Hawley,2019,2019,Missouri,Republican,1
Jon Tester,2007,2019,Montana,Democratic,2
Steve Daines,2015,2019,Montana,Republican,1
Deb Fischer,2013,2019,Nebraska,Republican,1
Ben Sasse,2015,2019,Nebraska,Republican,1
Catherine Cortez Masto,2017,2019,Nevada,Democratic,1
Jacky Rosen,2019,2019,Nevada,Democratic,1
Jeanne Shaheen,2009,2019,New Hampshire,Democratic,1
Maggie Hassan,2017,2019,New Hampshire,Democratic,1
Bob Menendez,2006,2019,New Jersey,Democratic,2
Cory Booker,2013,2019,New Jersey,Democratic,1
Tom Udall,2009,2019,New Mexico,Democratic,1
Martin Heinrich,2013,2019,New Mexico,Democratic,1
Chuck Schumer,1999,2019,New York,Democratic,3
Kirsten Gillibrand,2009,2019,New York,Democratic,1
Richard Burr,2005,2019,North Carolina,Republican,2
Thom Tillis,2015,2019,North Carolina,Republican,1
John Hoeven,2011,2019,North Dakota,Republican,1
Kevin Cramer,2019,2019,North Dakota,Republican,1
Sherrod Brown,2007,2019,Ohio,Democratic,2
Rob Portman,2011,2019,Ohio,Republican,1
Jim Inhofe,1994,2019,Oklahoma,Republican,4
James Lankford,2015,2019,Oklahoma,Republican,1
Ron Wyden,1996,2019,Oregon,Democratic,4
Jeff Merkley,2009,2019,Oregon,Democratic,1
Bob Casey Jr.,2007,2019,Pennsylvania,Democratic,2
Pat Toomey,2011,2019,Pennsylvania,Republican,1
Jack Reed,1997,2019,Rhode Island,Democratic,3
Sheldon Whitehouse,2007,2019,Rhode Island,Democratic,2
Lindsey Graham,2003,2019,South Carolina,Republican,2
Tim Scott,2013,2019,South Carolina,Republican,1
John Thune,2005,2019,South Dakota,Republican,2
Mike Rounds,2015,2019,South Dakota,Republican,1
Lamar Alexander,2003,2019,Tennessee,Republican,2
Marsha Blackburn,2019,2019,Tennessee,Republican,1
John Cornyn,2002,2019,Texas,Republican,3
Ted Cruz,2013,2019,Texas,Republican,1
Mike Lee,2011,2019,Utah,Republican,1
Mitt Romney,2019,2019,Utah,Republican,1
Patrick Leahy,1975,2019,Vermont,Democratic,7
Bernie Sanders,2007,2019,Vermont,&#91;a&#93;,2
Mark Warner,2009,2019,Virginia,Democratic,1
Tim Kaine,2013,2019,Virginia,Democratic,1
Patty Murray,1993,2019,Washington,Democratic,4
Maria Cantwell,2001,2019,Washington,Democratic,3
Joe Manchin,2010,2019,West Virginia,Democratic,1
Shelley Moore Capito,2015,2019,West Virginia,Republican,1
Ron Johnson,2011,2019,Wisconsin,Republican,1
Tammy Baldwin,2013,2019,Wisconsin,Democratic,1
Mike Enzi,1997,2019,Wyoming,Republican,3
John Barrasso,2007,2019,Wyoming,Republican,2
