year,state,candidate,party,outcome
1984,New Mexico,Pete V. Domenici,republican,1
1984,New Mexico,Judith A. Pratt,democrat,0
1984,North Carolina,Jesse Helms,republican,1
1984,North Carolina,Kate Daher,socialist workers,0
1984,North Carolina,Bobby Yates Emory,libertarian,0
1984,North Carolina,James B. (Jim) Hunt Jr.,democrat,0
1984,Oklahoma,David Boren,democrat,1
1984,Oklahoma,Robert T. Murphy,libertarian,0
1984,Oklahoma,Will E. Bill Crozier,republican,0
1984,Oregon,Mark O. Hatfield,republican,1
1984,Oregon,Margie Hendriksen,democrat,0
1984,Rhode Island,Barbara M. Leonard,republican,0
1984,Rhode Island,Claiborne deB. Pell,democrat,1
1984,South Carolina,Strom Thurmond,republican,1
1984,South Carolina,Melvin Purvis,democrat,0
1984,South Carolina,Stephen Davis,libertarian,0
1984,South Dakota,George V. Cunningham,democrat,0
1984,South Dakota,Larry Pressler,republican,1
1984,Tennessee,Victor Ashe,republican,0
1984,Tennessee,Albert Gore Jr.,democrat,1
1984,Tennessee,Khalil-Ullah Al-Muhaymin,independent,0
1984,Tennessee,Ed McAteer,independent,0
1984,Texas,Lloyd Doggett,democrat,0
1984,Texas,Phil Gramm,republican,1
1984,Virginia,"Edythe C. ""Edie"" Harrison",democrat,0
1984,Virginia,John W. Warner,republican,1
1984,West Virginia,"Mary E. ""Joan"" Radin",socialist workers,0
1984,West Virginia,John R. Raese,republican,0
1984,West Virginia,Jay Rockefeller,democrat,1
1984,Wyoming,Victor A. Ryan,democrat,0
1984,Wyoming,Al Simpson,republican,1
1986,Alabama,Richard Shelby,democrat,1
1986,Alabama,Jeremiah Denton,republican,0
1986,Alaska,Chuck House,libertarian,0
1986,Alaska,Frank H. Murkowski,republican,1
1986,Alaska,Glenn Olds,democrat,0
1986,Arizona,Richard Kimball,democrat,0
1986,Arizona,John McCain,republican,1
1986,Arkansas,Asa Hutchinson,republican,0
1986,Arkansas,Dale Bumpers,democrat,1
1986,California,"Edward B. ""Ed"" Vallen",independent,0
1986,California,Alan Cranston,democrat,1
1986,California,Breck McKinley,libertarian,0
1986,California,Paul Kangas,peace and freedom,0
1986,California,Ed Zschau,republican,0
1986,Colorado,Henry John Olshaw,unaffiliated american,0
1986,Colorado,Ken Kramer,republican,0
1986,Colorado,Timothy E. Wirth,democrat,1
1986,Colorado,Michael R. Chamberlain,socialist workers,0
1986,Colorado,Michael Martin Bush,independent,0
1986,Colorado,Calvin G. Dodge,prohibition,0
1986,Connecticut,"Edward J. McCallum, Jr.",none,0
1986,Connecticut,Roger W. Eddy,republican,0
1986,Connecticut,Christopher J. Dodd,democrat,1
1986,Florida,Paula Hawkins,republican,0
1986,Florida,Bob Graham,democrat,1
1986,Georgia,Mack Mattingly,republican,0
1986,Georgia,Wyche Fowler Jr.,democrat,1
1986,Hawaii,Frank Hutchinson,republican,0
1986,Hawaii,Daniel K. Inouye,democrat,1
1986,Idaho,Steve Symms,republican,1
1986,Idaho,John V. Evans,democrat,0
1986,Illinois,Alan J. Dixon,democrat,1
1986,Illinois,Omari Musa,socialist workers,0
1986,Illinois,Donald M. Parrish Jr.,libertarian,0
1986,Illinois,Elinar V. Dyhrkopp,illinois solidarity,0
1986,Illinois,Judy Koehler,republican,0
1986,Indiana,Jill Lynette Long,democrat,0
1986,Indiana,Dan Quayle,republican,1
1986,Indiana,Bradford L. Warren,libertarian,0
1986,Indiana,Rockland R. Snyder,american,0
1986,Iowa,John Masters,nominated by petition,0
1986,Iowa,Charles E. Grassley,republican,1
1986,Iowa,John O. Roehrick,democrat,0
1986,Kansas,Bob Dole,republican,1
1986,Kansas,Guy MacDonald,democrat,0
1986,Kentucky,Jackson M. Andrews,republican,0
1986,Kentucky,Wendell H. Ford,democrat,1
1986,Louisiana,W. Henson Moore,republican,0
1986,Louisiana,John B. Breaux,democrat,1
1986,Maryland,Linda Chavez,republican,0
1986,Maryland,Barbara A. Mikulski,democrat,1
1986,Missouri,Betty Shepherd,independent,0
1986,Missouri,Christopher (Kit) Bond,republican,1
1986,Missouri,Harriett Woods,democrat,0
1986,Nevada,Jim Santini,republican,0
1986,Nevada,Harry Reid,democrat,1
1986,Nevada,Kent Cromwell,libertarian,0
1986,New Hampshire,Warren B. Rudman,republican,1
1986,New Hampshire,Endicott Peabody,democrat,0
1986,New Hampshire,Bruce Valley,independent,0
1986,New York,John Dyson,liberal,0
1986,New York,Mark Green,democrat,0
1986,New York,Micharl Shur,socialist workers,0
1986,New York,Frederick D. Newman,new alliance,0
1986,North Carolina,Terry Sanford,democrat,1
1986,North Carolina,James T. (Jim) Broyhill,republican,0
1986,North Dakota,Anna Belle Bourgois,independent,0
1986,North Dakota,Mark Andrews,republican,0
1986,North Dakota,Kent Conrad,democrat,1
1986,Ohio,John Glenn,democrat,1
1986,Ohio,Thomas N. Kindness,republican,0
1986,Oklahoma,Don Nickles,republican,1
1986,Oklahoma,James R. Jones,democrat,0
1986,Oregon,Bob Packwood,republican,1
1986,Oregon,Rick Bauman,democrat,0
1986,Pennsylvania,Lance S. Haver,consumer,0
1986,Pennsylvania,Bob Edgar,democrat,0
1986,Pennsylvania,Arlen Specter,republican,1
1986,South Carolina,Ray Hillyard,american,0
1986,South Carolina,Steven B. Vandervelde,libertarian,0
1986,South Carolina,Henry D. McMaster,republican,0
1986,South Carolina,Ernest Fritz Hollings,democrat,1
1986,South Dakota,Thomas A. Daschle,democrat,1
1986,South Dakota,James Abdnor,republican,0
1986,Utah,Hugh A. Butler,libertarian,0
1986,Utah,Craig S. Oliver,democrat,0
1986,Utah,Jake Garn,republican,1
1986,Utah,Mary Zins,socialist workers,0
1986,Vermont,Dick Snelling,republican,0
1986,Vermont,Patrick Leahy,democrat,1
1986,Vermont,Jerry Levy,liberty union,0
1986,Vermont,Anthony N. Doria,conservative,0
1986,Washington,Slade Gorton,republican,0
1986,Washington,Jill Fein,socialist workers,0
1986,Washington,Brock Adams,democrat,1
1986,Wisconsin,Eugene A. Hem,third party,0
1986,Wisconsin,Peter Y. Taylor Sr.,independent,0
1986,Wisconsin,Margo Storsteen,socialist workers,0
1986,Wisconsin,Edward R. Garvey,democrat,0
1986,Wisconsin,Robert W. Kasten Jr.,republican,1
1988,Arizona,Ed Finkelstein,new alliance,0
1988,Arizona,Rick Tompkins,libertarian,0
1988,Arizona,Keith DeGreen,republican,0
1988,Arizona,Dennis DeConcini,democrat,1
1988,California,Pete Wilson,republican,1
1988,California,M. Elizabeth Munoz,peace and freedom,0
1988,California,Merton D. Short,independent,0
1988,California,Leo McCarthy,democrat,0
1988,California,Jack Dean,libertarian,0
1988,Connecticut,"Howard Avory Grayson, Jr.",libertarian,0
1988,Connecticut,"Lowell P. Weicher, Jr.",republican,0
1988,Connecticut,Joe Lieberman,democrat,1
1988,Connecticut,Melissa M. Fisher,new alliance,0
1988,Delaware,"William V. Roth, Jr.",republican,1
1988,Delaware,S. B. Woo,democrat,0
1988,Florida,Connie Mack,republican,1
1988,Florida,Buddy MacKay,democrat,0
1988,Hawaii,Ken Schoolland,libertarian,0
1988,Hawaii,Spark Matsunaga,democrat,1
1988,Hawaii,Maria M. Hustace,republican,0
1988,Indiana,Jack Wickes,democrat,0
1988,Indiana,Richard G. Lugar,republican,1
1988,Maine,George J. Mitchell,democrat,1
1988,Maine,Jasper S. Wyman,republican,0
1988,Maryland,Alan L. Keyes,republican,0
1988,Maryland,Paul S. Sarbanes,democrat,1
1988,Massachusetts,Freda Lee Nason,libertarian,0
1988,Massachusetts,Edward M. Kennedy,democrat,1
1988,Massachusetts,Joseph D. Malone,republican,0
1988,Massachusetts,Mary Fridley,new alliance,0
1988,Michigan,Dick M. Jacobs,libertarian,0
1988,Michigan,Jim Dunn,republican,0
1988,Michigan,Sally Bier,workers against concessions,0
1988,Michigan,"Donald W. Riegle, Jr.",democrat,1
1988,Minnesota,Polly Mann,progressive issues,0
1988,Minnesota,Wendy Lyons,socialist workers,0
1988,Minnesota,Arlen Overvig,libertarian,0
1988,Minnesota,Dave Durenberger,republican,1
1988,Minnesota,"Hubert H. ""Skip"" Humphrey III",democratic-farmer-labor,0
1988,Minnesota,Derrick P. Grimmer,grassroots,0
1988,Mississippi,Trent Lott,republican,1
1988,Mississippi,Wayne Dowdy,democrat,0
1988,Missouri,John C. Danforth,republican,1
1988,Missouri,John Guze,libertarian,0
1988,Missouri,Jeremiah W. (Jay) Nixon,democrat,0
1988,Montana,Conrad Burns,republican,1
1988,Montana,John Melcher,democrat,0
1988,Nebraska,Bob Kerrey,democrat,1
